delta_t,a_mean,a_std,b_mean,b_std,sigma_mean,sigma_std,stddiff,stdpath
0.01,0.9419611044303715,0.13864932834444776,0.9895248328615845,0.0015117135802540595,0.3198252901309678,0.00296375072490364,0.14730181664878428,0.1475450038545857
0.01,1.2343684722854564,0.21836168689917354,0.9921861323423392,0.0013129695706908025,0.31699119386340663,0.0029278218682486294,0.14862028500450497,0.1457917856822618
0.01,1.1689663568711461,0.19276907394816375,0.9914958372059705,0.0013491849362395492,0.3172381437441244,0.002925773450802466,0.14816337449821174,0.14704698456036405
0.01,1.3173899462256782,0.24016007891978916,0.9921295367898113,0.0013533472146831278,0.3158477082510764,0.002993169577300271,0.14866932594677823,0.1480225047355436
0.01,1.0859941556026413,0.17494364075236454,0.9904234718292253,0.0014959190795827862,0.31421261475131207,0.0029979338797716006,0.14794867904043044,0.14791038961036898
0.01,1.1594744965285364,0.1917409218033186,0.99087246551582,0.0014484166167375513,0.3164188574043791,0.0029342002924829585,0.14785446964898608,0.1490936607056813
0.01,1.0638296144443706,0.16387894598898922,0.9902261237962151,0.0014605446686150687,0.3130913966456964,0.0029139745272615024,0.14569199089059467,0.14772576938552812
0.01,1.2463260945000776,0.20362481058184095,0.9912331362606543,0.001384743690657897,0.31308680611406553,0.002949019850162774,0.14861336687966106,0.14934935137523242
0.01,0.8300558991942206,0.11043875002281282,0.9872632373973833,0.0017010472867598366,0.3180158556987872,0.002961378515699161,0.1481123229659332,0.14977914456337274
0.01,1.2307831458137588,0.2123946541036398,0.991369672390279,0.0014094433564560815,0.31435465380514244,0.002940157046378573,0.14858337378843806,0.14857992444932763
0.05061224489795919,0.9852562672873612,0.06447887484071943,0.9505777765331211,0.0035291431599199182,0.3157606883940011,0.004707977390341848,0.2104546025044768,0.21093705948404373
0.05061224489795919,0.9733387547062112,0.0591178813145351,0.9460429706529138,0.0035847499920919025,0.30827049172379484,0.0047731880274558425,0.20880994832064909,0.21114732240624684
0.05061224489795919,1.0277930126336021,0.06605126308367797,0.95238869184516,0.0033160520350950535,0.31431790479015514,0.004428924028858597,0.2143693977640315,0.21055226969498914
0.05061224489795919,0.9557884840526142,0.061270070422008806,0.9502239111506302,0.003535901313040505,0.3213580269735525,0.004651383596455509,0.21421444190223948,0.21213922176836578
0.05061224489795919,0.9874845071139033,0.06306587875720167,0.9496334575845218,0.0035494530126625548,0.3180398239605376,0.0047219423307754745,0.21027014389213403,0.21275927565712405
0.05061224489795919,1.1402013910459954,0.07779602001764861,0.9557644346633252,0.003309527787843539,0.32187471419968955,0.0048175870230681385,0.2127432079042276,0.21475383799922437
0.05061224489795919,1.0376142826608292,0.06725718473071698,0.9529730610640784,0.003344150921275937,0.31607907605813035,0.004600187985758052,0.21059333212129744,0.2110937029874207
0.05061224489795919,1.150984544256958,0.07899009691873128,0.9564885684353573,0.003219989224148076,0.30883588084213953,0.0046119266749123445,0.21370717370995998,0.20918383190431256
0.05061224489795919,1.0189917650789722,0.06363309373075715,0.9495616077407607,0.003495978055906766,0.3085139324386404,0.004811964412045186,0.21275705955261667,0.2102494923932125
0.05061224489795919,1.0137674423201373,0.06662582258182194,0.9528526258671629,0.003391517662860765,0.3206797357228661,0.004496911948830244,0.2124149446232664,0.21203056959438435
0.09122448979591836,0.9921751071824397,0.04616710738521067,0.9084346012815347,0.0050469233165516825,0.31448169832059897,0.006718823105073671,0.2320153376334297,0.2371124836118332
0.09122448979591836,1.0591415340842683,0.05287743534206156,0.9197963000298823,0.004539473967853431,0.3232226145349787,0.006245352209511939,0.23578198413494855,0.23838659233727977
0.09122448979591836,0.9947390212656273,0.047430037849007185,0.9119259350540604,0.004869831515203485,0.31657000867146134,0.006346924270056076,0.23396330476986157,0.2365602944087754
0.09122448979591836,0.9781671394095421,0.048260897749595,0.9150605393947813,0.004742105766988763,0.32284460853293284,0.006249150029346362,0.2369893281846281,0.23728733563897814
0.09122448979591836,0.9591690821188394,0.045003562686094095,0.9112512598750361,0.0048639661136016185,0.32663834903003813,0.006247124879641661,0.23558075551407237,0.24027892071284018
0.09122448979591836,0.9564811588157236,0.044123517390366365,0.9038967567532636,0.005157915350976322,0.3076618526512376,0.006753800379393734,0.23595300986023465,0.2342215316141084
0.09122448979591836,1.0267372379201776,0.05027346059143609,0.9172253760336458,0.00460758502553426,0.31319897472930913,0.005863678640085893,0.23818384898487405,0.23358170965090352
0.09122448979591836,0.92326100337564,0.04421142151202058,0.910506098158305,0.005001798932076672,0.3296122746000041,0.0063246232902287435,0.237496034750896,0.24036632211082182
0.09122448979591836,1.0330547537166435,0.05001334609192361,0.9143407031701842,0.004824929506798097,0.31549047793275514,0.006318198107287501,0.23581145089335098,0.2364090172213037
