,dt,A,dA,B,dB,s,ds,tau,dtau
0,0.01,1.0641828213336912,0.1670006108079157,0.990097282296466,0.00152693044915123,0.5006606535061675,0.0041982204117972845,1.017801664652762,0.1595044335066374
1,0.0914285714285714,1.014428204490415,0.04934171441822286,0.9126244684242246,0.005172766537305585,0.5000082876837423,0.006819273599844865,1.003013365164231,0.06228399569743755
2,0.1728571428571428,0.9836528118466352,0.036209308543050586,0.8391384364593186,0.007764109106007305,0.5016477445913979,0.009674896863253846,0.9873935093153614,0.052153809244704905
3,0.2542857142857143,1.0105960044133577,0.032640128728530685,0.7737331651333255,0.00979251833361142,0.49508814286635666,0.012999087095538226,0.9935680548004322,0.049043726134745586
4,0.3357142857142857,0.9956160344473574,0.031177248364626948,0.7110431952577143,0.012013810668348456,0.4968104209878753,0.016757502210879068,0.9866068895517438,0.04893480363186976
5,0.4171428571428571,1.0013046619222605,0.032309114730341745,0.6568401496854219,0.014049660612779092,0.49357054587636034,0.0215277568577319,0.9951371435203973,0.050685928287678504
6,0.4985714285714286,1.0216422248577133,0.03660788725930885,0.6032297171298907,0.016850256664480083,0.4817379276413914,0.030157136465991153,0.9891066817855731,0.054632025166929644
7,0.5800000000000001,1.0156784604642364,0.04355793027177727,0.555773929945779,0.020224194592545965,0.4830220535465578,0.041893925918291906,0.9918654959521158,0.06115926562047104
8,0.6614285714285715,1.0269282189701896,0.04861773842420361,0.5133360405282791,0.02185839596724495,0.47590665978388075,0.047533416274309084,0.9936750684668054,0.06324082695887816
9,0.7428571428571429,1.0224315193470759,0.056845346872228995,0.46854657649315623,0.02464359088809082,0.4718401014109759,0.0587419555466344,0.9826697643947387,0.06833246717963604
10,0.8242857142857143,1.0359837769900329,0.06351015281059916,0.4260565451041538,0.02563721011785135,0.4598210120215437,0.06829623259519234,0.9687719791195208,0.06867530438722168
11,0.9057142857142858,1.0167813334621294,0.06557471599975444,0.4002774403470455,0.026012727290439103,0.472489197773443,0.0679048208107077,0.9928242376788627,0.07119631723977142
12,0.9871428571428572,1.0389766538961709,0.07069293620725192,0.3655712663658375,0.025901870967019132,0.45692404780074647,0.07520278057069511,0.9821981251604868,0.06948469752561397
13,1.0685714285714287,0.9983216251222908,0.08138615367420568,0.345921627201528,0.029143627305407916,0.49579729685641033,0.08169566315502955,1.0088212710412283,0.08085214801001592
14,1.15,1.0087342780878585,0.08459715323548128,0.320474021574364,0.02886728603070356,0.480203963066673,0.08587936242203209,1.0124911993697057,0.08093836256178316
15,1.2314285714285715,0.9929564053864237,0.09604143417718244,0.29628081992220656,0.030914660513886045,0.48818372021086526,0.09702084547104757,1.0145020887032359,0.08793042307707374
