rho,coupling,pearson,a1,da1,a2,da2,d,dd,da1da2,da1dd,dasdd,a1ep,a1ss,a1c,a2ep,a2ss,a2c,c,dc
0.75,6.0,0.7338765583365667,0.962127976113955,0.08152511385153759,0.14092818631354118,0.006214196198071478,0.9873709399541929,0.04660265868506874,3.909046262227811e-6,0.0001749337631156918,2.2534966639212462e-5,2.017985607895521,938.5223518982517,691.8526213597419,1.4207339841385995,140.82787828975435,10.990045232065823,5.840099301432712,0.6508254823786708
0.75,6.0,0.7516589795727646,1.0258673258692792,0.09184399887672615,0.14082196215204743,0.0064159786297371445,0.9785389046182265,0.046521898116716594,1.4470105382154578e-5,0.00017884000409532246,3.008442992245696e-5,1.202985327139598,1000.8941037393704,756.8337303564203,1.1524422851855802,141.230237454122,10.339080522866544,6.299184557885943,0.7258840617434624
0.75,6.0,0.77109335437568,1.1336244030859575,0.10277003330187004,0.1422976767510499,0.006403751093292697,0.9698778518377107,0.045644946290353774,-1.1754758886451646e-5,0.00021923478061300878,2.036888025610427e-5,1.2616648548865275,1107.061573023301,850.2372284050936,1.1804459077687042,139.91058927689295,19.63130130519293,6.983246833675479,0.8141134189930541
0.75,6.0,0.7428825282206446,1.0550230604827562,0.094961819356598,0.1488967956611415,0.006727099145980161,0.9675115815683759,0.04482801159827396,2.0584987003819124e-5,2.3651734150724582e-5,2.8806364010380366e-5,1.0013386380199443,1030.9889912791514,782.5700950791984,2.0843052834754197,147.03777163353888,17.974633942274767,6.099068952503287,0.7073826606653909
0.75,6.0,0.753399264829153,1.0406795350609082,0.09086037073396058,0.14168315918458976,0.00638376660391422,0.9923625204125254,0.04763824578034328,-8.19722213499747e-6,-0.00014007880575846383,2.7369658106324155e-5,2.7277507793378817,1014.2755415265498,756.9949395149405,1.2315464387483093,139.70013687043016,17.872423681878498,6.360374316298508,0.7271008963815159
0.75,6.0,0.7480358460274288,0.9712816297965845,0.08173544177952725,0.13850946518568963,0.00629808797643184,0.9517398953881359,0.04535006897048646,2.28962967096396e-6,0.00021820015595842694,1.9584355920489205e-5,1.5622059309595042,954.4762714303992,706.4204672578347,1.0255931658415591,135.86922054651473,20.132598394592346,6.02667248604963,0.6696545971785683
0.75,6.0,0.7585708687703825,0.9760131047925922,0.08209310839955897,0.130763375561827,0.005911738063819181,1.0360234078231874,0.051657740171026346,-1.5229268555597517e-6,0.0001607723662864866,2.0320236690164323e-5,13.196584447495805,931.842620131879,663.5885554433038,1.3688160901013684,127.71011699230095,15.579827862772117,6.4792373445551155,0.7149657150478016
0.75,6.0,0.7539024851040242,1.0573801659837228,0.08965508795348319,0.14487475296065577,0.006372607569638873,1.0249455795168219,0.04932929459578772,9.855633050591688e-6,0.0001244641777706721,2.836249176940244e-5,1.141274217779927,1034.322584995437,772.0189170651607,1.02875917813304,143.71676390174088,15.744029928155845,6.312212803717903,0.692786280757756
0.75,6.0,0.7105460272854595,0.9385270254657121,0.07491425504769014,0.15625124117681857,0.0070014622793780935,1.030160445926302,0.04953032164745038,-1.3254293754205453e-5,0.00018212296008269092,2.7274246464385437e-5,1.1731687702590556,921.0434760731644,662.5559075875732,1.0211007685390658,155.03574754678672,19.579243376800793,5.019049857080383,0.5567260579035357
0.75,6.0,0.710527732420057,0.9053050269960426,0.07409143882033521,0.1498569229259171,0.006793668338310277,0.9342618358428771,0.04406197755037594,2.4362224357584263e-6,0.00016103655261167596,2.867510030886588e-5,1.0261250680040412,886.426556364009,650.8900206851314,1.000253891002597,149.10683791675802,20.315778897857978,5.05337221040017,0.5648033652309863
0.75,6.0,0.7535992967209295,0.9913149720314827,0.08215421030769043,0.13773768304708175,0.006301202214784995,1.0734897082874082,0.05258215181304115,-1.2679850525173907e-7,3.620259858647988e-5,5.529211408763297e-6,1.2926452963186397,971.9849954975984,696.2175718570971,1.0540262368336382,135.35987914911635,15.611014907550413,6.212149249790593,0.6825109090268346
0.75,6.0,0.7727459203645685,1.2052950208845958,0.11466892036757202,0.14665528720546261,0.006642124060580111,1.0210211229270838,0.04607731631565652,-4.888471551520953e-6,0.00029860396562924105,9.81682137577537e-6,1.0704233444988918,1175.2492327769369,905.1437916072138,1.1759389113094905,144.2791041730108,19.31453216926896,7.235632802165634,0.872559213265547
