rho,prho,C,dC,A1,dA1,A2,dA2,D,dD,a1,da1,a2,da2,d,dd
-0.9,-0.8776555866035103,-15.267007022276418,2.4869901577743643,0.05432880626692297,0.0024946020470894446,0.8818934712470924,0.1284277868632144,0.9990906004411616,0.043894075780374485,0.05406681764847275,0.0018004241062364468,0.8349611525640057,0.026999672326547486,0.9961365924609134,0.045764682373641175
-0.9,-0.9000986794060725,-19.13824528436119,3.501382960505355,0.05542840942936678,0.0025704990306598045,1.1138068483879315,0.18629837589454362,0.9995132652086217,0.04307709821494109,0.05515146384778689,0.0018516035269356451,1.0391906480591606,0.03487351785959902,0.9960422416991138,0.04571395427087824
-0.9,-0.91710140168145,-23.71803384619692,4.946585668010483,0.05780627587301501,0.00267685496564044,1.4256545875102153,0.2765394022667001,1.0230659781319382,0.044296120892698174,0.05752470255230506,0.001963201386995774,1.3064745380476266,0.046284690404122274,1.0194531741911244,0.04728467902844557
-0.9,-0.916377820832855,-24.512916838108946,4.808132912587198,0.050064876593533064,0.00228770926918858,1.2746653612485281,0.23299732709539214,1.0146055644273866,0.045027355111195724,0.04984144052801808,0.0016704034692174834,1.178075826552798,0.04072039798024579,1.0112890349200474,0.04662275998387683
-0.9,-0.8980509350712007,-19.63057023170423,3.3202150012530773,0.04899427080494545,0.002207150216951571,1.0087469558988569,0.1557388247365841,1.0232718181443998,0.045985938501181406,0.04878240656039238,0.001600305029039186,0.9484974149168274,0.03167645604923448,1.0196147966003928,0.04646327970573496
-0.9,-0.9012941991941004,-20.51859684234717,3.9511466790045087,0.05370716091416494,0.0024663428277669056,1.1532321414507503,0.2047831053139375,1.0018410272149767,0.043702337694648874,0.05346104622007534,0.0017589871792107093,1.0697796334603165,0.03687456156171491,0.9987749724967782,0.04565985943685667
-0.9,-0.9155991679564044,-23.218183256072486,4.239718047787178,0.048609943932235805,0.0022088621677691087,1.1748243868816381,0.19828192832865263,1.0456479451251937,0.046941914181049454,0.048405312759891676,0.0016096586701843984,1.0945596833397082,0.03725122707030774,1.0422426031199594,0.0482644022264171
-0.9,-0.8994815376995038,-19.141388653060545,3.2997877274046785,0.05149143616227643,0.0023611986365203444,1.034912049143933,0.16251263305058689,1.0344339947892827,0.045951367252760646,0.05124775900316159,0.0017130117251396774,0.9725186650920092,0.03214535263444348,1.0308211697219387,0.04804993042735105
-0.9,-0.9064708543332987,-22.334913116629327,4.186456422212773,0.053723246733107397,0.002443315730161213,1.2511164682270108,0.21721794816658765,1.049963718468738,0.04639778025120812,0.05347395056788141,0.0017684863167790538,1.1622182937568037,0.04079593246716835,1.0467268638386367,0.047527543775077015
-0.9,-0.9037127726354091,-20.950410354783678,3.7135718325986167,0.04956186646676638,0.0022515224013070975,1.08554144610628,0.17582644726461225,1.037187888183672,0.046721276514720876,0.0493316965074812,0.0016564673594264675,1.0179140775202504,0.03374787956222818,1.0333751899167982,0.04820238033513208
