rho,prho,C,dC,A1,dA1,A2,dA2,D,dD,a1,da1,a2,da2,d,dd
-0.9,-0.9031516612396722,-18.80718872813406,0.9832701571723022,0.05229539930785893,0.0007557876013436478,1.0356071843823325,0.04914777553895346,0.9774446291933913,0.013541213198211008,0.05226659579579192,0.0005533822316859782,1.0289495469834142,0.0108868285150787,0.977022047295639,0.014240933004743453
-0.9,-0.900380468782815,-18.220907556625036,0.9245644154178706,0.05353916192939202,0.0007644361324927072,1.0288568586644722,0.047157001325924076,1.0224923670282986,0.014115403747052812,0.053510016434340696,0.000565387722910648,1.0225969318571317,0.010843121825766196,1.022100622633986,0.01489493835507727
-0.9,-0.9070690064061386,-19.620659700542493,1.0223785651268567,0.05106231930790192,0.0007313645452484253,1.0527262728160796,0.050033019710365896,0.9766476498681234,0.013420283546141328,0.05104309556576269,0.0005401816802477121,1.0461076917438166,0.011102279574169354,0.9762032363442608,0.01423242995762476
-0.9,-0.9037951645155939,-19.181012125899237,0.9960924748010189,0.052943016006942616,0.0007618161750693087,1.0682243232914523,0.05047325858137972,1.0062156611303603,0.013948766638506808,0.0529204355344593,0.0005599328336888675,1.0614849928042267,0.011334747091330888,1.005904076965417,0.014668355742159179
-0.9,-0.8994402764336777,-18.18274882835449,0.9192839656999747,0.05227320133124235,0.0007519234323440174,1.0025425616905348,0.04596324757148194,0.9880504658609086,0.013676075100606165,0.052252710273613175,0.0005520936346278866,0.9963468411437362,0.010484999112387938,0.9876113131623566,0.014379720103974954
-0.8,-0.8008416047960623,-8.118870095024706,0.44472139169396185,0.11064557315716783,0.0018298576718645046,1.008688626640501,0.046309307314194054,1.0108824100838107,0.012597362228163513,0.11055884846465287,0.001156169009309714,1.0027910227924892,0.010559014610632526,1.0106508696831038,0.01591885959521268
-0.8,-0.7955722707207984,-7.856521037797001,0.4190253354484446,0.10967480791676917,0.001804077384786906,0.9710869945686189,0.04335660041144065,1.0183958757728984,0.012706724003190154,0.10958366620801771,0.0011446404645553858,0.9653301056185867,0.010111602597172692,1.0180908750402373,0.015772009174049133
-0.8,-0.7981710728548553,-7.932161092248686,0.43438200092169393,0.11083566978790665,0.0018500538430315581,0.989717620008154,0.0450119494476864,1.0042718952180822,0.012389611018820428,0.11073810159563716,0.0011636911064425795,0.9838351721815595,0.010253069719635638,1.0040667412498476,0.015829954213978665
-0.8,-0.8045132093722599,-8.374587355962472,0.45909194374726464,0.1096493269852457,0.0018220199011147597,1.0276375042096895,0.047413206737834446,1.0144810100398218,0.012632396131857434,0.10955469217807057,0.0011552153581221411,1.0216529005624935,0.010729300272719667,1.0143196419266707,0.01602636481102001
-0.8,-0.8037633049620421,-8.268884359385313,0.45522996336773097,0.11159436735797817,0.00186435313349362,1.0340809110110978,0.04806368117563038,1.0114809673824452,0.012510025045990357,0.11150597111796726,0.0011657608323276522,1.0278423364885039,0.010881029562273933,1.011199384438838,0.01604256307085704
