delta_t,a_mean,a_std,b_mean,b_std,sigma_mean,sigma_std,stddiff,stdpath
0.01,0.9182930469255184,0.4114206432389639,0.9862849119054852,0.0043319547328375665,0.5136253377474486,0.009600342818516166,0.18139633705647348,0.19537761056662917
0.05061224489795919,0.9479681915231386,0.12333050541514358,0.9308541399275692,0.010237858519457431,0.46779535796420824,0.013360898109398988,0.28754784135770234,0.281934446323205
0.09122448979591836,0.9615140381559976,0.11120279200585047,0.9153331658565076,0.011541968084060826,0.5068305551421586,0.014653189172534097,0.32043782127113835,0.309662134444676
0.13183673469387755,1.0289140618848474,0.0947547682806627,0.8669763829327071,0.015009084566040914,0.4899502679761614,0.01880680701389652,0.3354288708909908,0.3391087318903843
0.17244897959183675,0.9387853805052004,0.07983866341032902,0.8465905223197179,0.01713416987727046,0.48434427294882587,0.02077365445029902,0.3700485352340443,0.3404942257173579
0.21306122448979592,1.0055222911495791,0.07749587672781245,0.8092348428979811,0.019370053441182346,0.49578068877926046,0.024443729565899693,0.3763391269700261,0.3651297872783626
0.2536734693877551,1.155630182981829,0.08568705782331748,0.7936867548720554,0.019433353103814072,0.4488440608746463,0.02836305737504107,0.38393216678234976,0.3550414543284451
0.2942857142857143,1.0843473722665389,0.07804822655335689,0.7573157588410716,0.023298212304560355,0.4830423290191788,0.0340448734677466,0.388193630754035,0.3797426242446484
0.3348979591836735,0.966302800838429,0.06975630902699399,0.7085910928434452,0.02847013083969856,0.5025550628255988,0.0401798822448538,0.38862834264824614,0.394925711587555
0.37551020408163266,0.9817449147516291,0.06892089444204924,0.7446056763641277,0.023458489457501123,0.5334933215940699,0.028257171913253533,0.4000456767879972,0.4022177731553911
0.41612244897959183,1.1194352141724013,0.0822036041201115,0.6472974326926892,0.03378179800263572,0.42162350811126864,0.07222348681510941,0.4081787927046125,0.3681661159629805
0.45673469387755106,1.0205902687642676,0.07714167050384313,0.6393339913231253,0.03309329658492581,0.5129743049541321,0.05278776638453497,0.39665978100406163,0.4183824807324885
0.49734693877551023,0.923118401139604,0.07132000809391192,0.6195176631765331,0.034529966747071955,0.5331345125279783,0.04859206380349584,0.41542447858650444,0.4259763430432224
0.5379591836734694,1.0072749283312428,0.07649368727084468,0.6217146592768759,0.03422576000069076,0.5056118611053896,0.05537425863538587,0.41748664861993184,0.41639214510223793
0.5785714285714286,1.0084386536901455,0.08606322392999761,0.5555799393341678,0.03963318682621197,0.4703546781667997,0.07717373572630767,0.41136298830819384,0.4060338240861716
0.6191836734693877,0.956252208352058,0.12425791637326994,0.5436378539413336,0.059926283135807716,0.5173619049934503,0.13113680904387523,0.42432178831684153,0.43928254524027693
0.659795918367347,1.0111484306758762,0.09730864819005487,0.5529448097633021,0.044414300708515694,0.5362690742106047,0.08068828819129995,0.4256359188463432,0.4465498873071823
0.7004081632653062,0.8665267295533647,0.0874195744605054,0.5704609807807977,0.04528934159935601,0.6420417237017336,0.05980203299870983,0.4588560099495657,0.4855921120174916
0.7410204081632653,1.141282929416148,0.08854710062741047,0.447757901157665,0.03811478298372974,0.37013913079562083,0.10446143319936939,0.44582770272925726,0.35275454305783277
0.7816326530612245,0.9697258266155933,0.10931885439237507,0.4856341875604091,0.04889215386199199,0.5741718337053145,0.09045052871083224,0.42846392030688735,0.47481823746420404
0.8222448979591837,0.9148910700601037,0.09217610911595953,0.49810792487326655,0.044196973703225464,0.5497259023031148,0.07530546599803029,0.4298296725138811,0.4543833864033899
0.8628571428571429,1.1359311789200806,0.10195185945294563,0.39478055507785986,0.0393681362593318,0.3423390572266923,0.12656698204027397,0.44596775602588273,0.33916634134061335
0.9034693877551021,1.0106352627458233,0.11385590011609331,0.4137955242689196,0.04702961420927976,0.45343826315559654,0.11385393377424051,0.4334429590878475,0.41165710155359364
0.9440816326530612,0.8762035685061845,0.16977795345697785,0.41539897338269954,0.07191505001836208,0.5947931409575017,0.15739951952089673,0.453166108324967,0.4936737478196008
0.9846938775510204,0.7889619972923596,0.11571002444687635,0.4655366368843754,0.06053585567183554,0.6199552706547893,0.0913727971469929,0.45023962690737357,0.4852013059993939
1.0253061224489797,0.7695560280483313,0.14149553804080425,0.44865240400437,0.06510823460309736,0.7077787673071427,0.10895822994017139,0.508531872945668,0.5260794839961186
1.0659183673469388,1.0016544723513303,0.12788326144324005,0.338038737702656,0.0465705651968036,0.47211096923825163,0.12133203614488447,0.4498552831805854,0.429424759963421
1.106530612244898,0.8793841971731797,0.15551144718296503,0.34216444624290066,0.059693697436357586,0.5610134866826845,0.1389333113749962,0.4576596598967637,0.4795017686583035
1.1471428571428572,0.7601616867691764,0.15341861704731788,0.4723723149480613,0.07646168019246016,0.7133288513704624,0.11276241382223949,0.5119077891266411,0.5246683234122943
1.1877551020408164,0.7656155921527386,0.13465515324586613,0.41688342809181944,0.06420640076786949,0.6989992626190891,0.09544768264072107,0.5016786006530125,0.5252978299003718
1.2283673469387755,1.203188318444316,0.10812779061326729,0.2975084340906104,0.033304314229128246,0.3114434032114566,0.1346184534241908,0.47105162666511086,0.321000311222426
1.2689795918367348,0.7806045069031033,0.1850846556001871,0.33707667087847704,0.07586842330498034,0.6490754496746833,0.14835996467399254,0.48542848156097407,0.5170640854907509
1.309591836734694,0.8199717366773248,0.19925057334154464,0.3704240032259946,0.07980019686050617,0.6846087399069604,0.15234875647573712,0.48290158159464247,0.5357602644280349
1.350204081632653,0.6211393245709871,0.1504484583322557,0.3993745053455062,0.08254285619105672,0.7901613741617423,0.09624790872930739,0.5604832440150411,0.5379713569218352
1.3908163265306124,0.9782389768762939,0.18598265885294438,0.2897724324894698,0.0641964811192518,0.531311511944197,0.15926192920081428,0.445224049894243,0.47471721021078894
1.4314285714285715,0.90841891197245,0.19012045528317165,0.32111210003380897,0.07112369273655672,0.5294953631970631,0.17134020249940995,0.4539784281651193,0.469685692918929
1.4720408163265306,0.7954389910972658,0.20679874674154342,0.341945829767614,0.07899349412865353,0.7031351153019902,0.15746334704972562,0.5067205331463177,0.5443604566781094
1.51265306122449,0.955627505298274,0.19281107760150112,0.23516305425382877,0.0514511833382995,0.47257200615680756,0.1795695806776016,0.4362626067133003,0.442876380402496
1.553265306122449,0.5479525322024996,0.2169673327535061,0.3631336799992341,0.10418526922529425,0.8500854452714871,0.13919461331381905,0.604063460047314,0.5441618717704614
1.5938775510204082,0.7495680162700024,0.20298667395275136,0.30838186510660137,0.07615334608664533,0.7078259671449633,0.1457906712952075,0.5197217281884906,0.5416229070603351
1.6344897959183673,0.7535059203810288,0.22557460200357787,0.31036354165409674,0.08558073393814572,0.6939932033323296,0.16811817714260052,0.517549200151382,0.5379533690315398
1.6751020408163266,0.8410932923913911,0.230173967174292,0.26934329376275185,0.07223235922501547,0.6616666428285437,0.1773076606739188,0.481784586715853,0.5384102946948361
1.7157142857142857,0.6108035087887411,0.16800513895764554,0.3864047824107292,0.08301134458399456,0.8417789899387497,0.10347213678301181,0.608470539185715,0.5537470143411822
1.7563265306122449,0.611133083546399,0.1676528209110917,0.3858044023018493,0.08274578868753063,0.8192685325544576,0.10761375645145908,0.5941462433143408,0.5469930906797843
1.7969387755102042,0.6611100083653291,0.312692175944858,0.2763129814190103,0.11681916651929594,0.7646524090390688,0.23151991639028988,0.5549864894850883,0.5561568487079451
1.8375510204081633,0.29452470550315185,0.12482402100535228,0.45968899340376373,0.10882847772254918,0.9575283132088823,0.07232993378174325,0.7581052024270246,0.454193972040308
1.8781632653061224,0.3039565891542844,0.2051537766171864,0.4677551136580775,0.1494908678070986,0.9501560493829011,0.12656552328753307,0.7571558547166163,0.4604975316680619
1.9187755102040818,0.5186907476141257,0.20088024146748462,0.3389408491372155,0.09892842534688066,0.8591131094454041,0.12576953885404799,0.621176821441985,0.5397649840489951
