rho,coupling,pearson,c,dc
-0.9,-18.000000000000004,-0.9205348092674592,-25.648144685327356,5.793977783158997
-0.9,-18.000000000000004,-0.8815692957794051,-25.404895218198604,5.48165456857692
-0.5,-2.0,-0.4645223787144603,-25.346360285386844,5.114991023798872
-0.5,-2.0,-0.5303487362083975,-25.430368674638412,5.241237778133952
-0.1,-0.22222222222222224,-0.1731620205656376,-25.399322538201055,5.341997113267438
-0.1,-0.22222222222222224,-0.07443862011672965,-25.63224900101974,5.711261394451626
0.3,0.8571428571428572,0.40764493711005834,-25.495592392663696,5.4906498935461
0.3,0.8571428571428572,0.26603383382433426,-25.415665272590985,5.278649027087887
