rho,coupling,pearson,a1,da1,a2,da2,d,dd,a1ep,a1ss,a1c,a2ep,a2ss,a2c,c,dc
0.25,0.6666666666666666,0.30646904143085996,1.0529518647960456,0.09399388049536617,0.5580486239501437,0.03781563229572682,0.9210527366441038,0.03477116208018351,1.0073302192673141,1029.6914303115097,791.1569711955381,1.0255928970013453,551.2738448231968,331.6705855595365,0.8955504233563768,0.21263488784177045
0.25,0.6666666666666666,0.2912384292510743,1.0007530879928497,0.08612739642224353,0.5617690081763892,0.03670585050312519,0.9680949208077468,0.037438843992900095,1.803744385617666,983.5014836770015,720.1709123317984,1.0830462922804147,550.2614484691873,338.4867838456624,0.7884590210049466,0.18819232610658096
0.25,0.6666666666666666,0.20998605410628454,0.897815347225053,0.07180384173863691,0.5793629151049949,0.037690016642166715,1.0309746464760388,0.0403893772948311,1.765347575283632,878.4023990046123,623.3576330671857,2.329138845062624,572.5955634970425,328.39298516992903,0.5562696960062757,0.1611261678753165
0.25,0.6666666666666666,0.23877006967445624,1.0105994669759497,0.0845142740417618,0.6165163579964807,0.04072123510845356,1.0809898873069401,0.043313591559022584,1.0017586716571842,988.5385565542039,719.6824059795224,5.413997982303427,603.838638994544,347.34656748512833,0.6464220488022364,0.17619962120375954
0.25,0.6666666666666666,0.22071984103893802,0.9106333904028898,0.0711941007550412,0.5884712908107997,0.03796199780586357,1.0507637160916317,0.04148862222247842,1.0010726719284402,895.4753517635143,630.9877962421298,1.1314597673409028,581.2027252864794,338.39660067290936,0.5540268096683986,0.1590032792758193
0.25,0.6666666666666666,0.3063948184251995,1.0187813017090066,0.09214482970405648,0.554013510657835,0.036389014586461356,0.9809537432797109,0.03882832590039625,1.0599758188456223,1002.6948331034788,732.4161414300971,1.3815425551848806,541.488503985754,331.0514909646308,0.847044879776934,0.20898200577620007
0.25,0.6666666666666666,0.27142196643810773,1.0302374583532932,0.09098951804771635,0.5871985237502538,0.03976825022732834,0.9728263817731851,0.03643887849626162,1.9050603181860692,1005.8378145159631,755.2742089962655,3.181873527927689,576.3929091335298,344.5667461282127,0.7625178755244915,0.1960142843881013
0.25,0.6666666666666666,0.22474623453061396,0.9911346783083559,0.08277939993616949,0.6212840912883008,0.041453844827084724,1.0355713002391398,0.039816411145655387,9.872915273490596,953.4721099404054,684.9429773027186,2.5363349126724866,609.7334657293497,367.1866370640607,0.6022649884270425,0.1700550985875746
0.25,0.6666666666666666,0.17830697058532938,0.9535849030201992,0.08092808322811139,0.6641372433932871,0.04676512164145764,0.9932612334279246,0.03723548515633515,1.1244597508407623,938.439567375766,673.62236984354,1.073808154616022,650.5893052461226,422.3137262562065,0.44302379802122394,0.15986639589858445
0.25,0.6666666666666666,0.2153106096276967,0.9907620069029208,0.08502221421205494,0.6376798564650901,0.043065547416944724,0.9844799781127973,0.03790381735408606,1.4234898357508134,972.0918527496616,711.4669546385992,1.1584354176847913,626.7395087586473,398.0573305604304,0.5605820762950344,0.16896282489477576
